Algorithm,Seed,Energy_kWh,Violations
Hybrid,10,36825.47,19
Hybrid,20,37646.84,19
Hybrid,30,37870.832,19
Hybrid,40,37458.137,19
Hybrid,50,37780.996,19
Hybrid,60,37419.062,19
Hybrid,70,37870.832,19
Hybrid,80,37870.832,19
Hybrid,90,37463.63,19
Hybrid,100,36416.84,19
