Step,Temp,Setpoint,Power,Mode
127,23.250708,23.5,15781.806,LSTM_AI
128,23.353193,23.5,9761.76,LSTM_AI
129,23.498997,23.5,9898.154,LSTM_AI
130,23.499727,23.5,9809.044,LSTM_AI
131,23.499561,23.5,9619.505,LSTM_AI
132,23.49937,23.5,8604.762,LSTM_AI
133,23.499434,23.5,8383.397,LSTM_AI
134,23.499222,23.5,6908.8667,LSTM_AI
135,23.499203,23.5,5679.423,LSTM_AI
136,23.499126,23.5,4721.196,LSTM_AI
137,23.499037,23.5,4154.3574,LSTM_AI
138,23.498985,23.5,3765.7551,LSTM_AI
139,23.498951,23.5,3298.1528,LSTM_AI
140,23.499035,23.5,3265.5015,LSTM_AI
141,23.499043,23.5,3251.2466,LSTM_AI
142,23.499027,23.5,3878.1802,LSTM_AI
143,23.499014,23.5,4872.5103,LSTM_AI
144,23.49921,23.5,6117.7036,LSTM_AI
145,23.499298,23.5,7422.6724,LSTM_AI
146,23.499382,23.5,6864.6416,LSTM_AI
147,23.499443,23.5,6387.795,LSTM_AI
148,23.499367,23.5,7626.377,LSTM_AI
149,23.499363,23.5,7074.482,LSTM_AI
150,23.499363,23.5,6578.5444,LSTM_AI
151,23.499365,23.5,6168.999,LSTM_AI
152,23.49934,23.5,6114.145,LSTM_AI
153,23.499317,23.5,5543.649,LSTM_AI
154,23.499304,23.5,5577.279,LSTM_AI
155,23.499311,23.5,5522.711,LSTM_AI
156,23.499365,23.5,5404.2495,LSTM_AI
157,23.499376,23.5,5615.5264,LSTM_AI
158,23.499378,23.5,5464.1724,LSTM_AI
159,23.499367,23.5,5284.043,LSTM_AI
160,23.499413,23.5,4602.489,LSTM_AI
161,23.499393,23.5,4667.4634,LSTM_AI
162,23.499384,23.5,4845.148,LSTM_AI
163,23.4994,23.5,5252.3633,LSTM_AI
164,23.499418,23.5,5277.8433,LSTM_AI
165,23.49943,23.5,5383.1987,LSTM_AI
166,23.499434,23.5,5438.4004,LSTM_AI
167,23.499434,23.5,5474.3022,LSTM_AI
168,23.500063,23.5,5714.4624,LSTM_AI
169,23.500153,23.5,6007.8394,LSTM_AI
170,23.498856,23.5,6181.9297,LSTM_AI
171,23.473082,23.5,6313.162,LSTM_AI
172,23.250217,23.5,8105.0625,LSTM_AI
173,23.249952,23.5,8569.766,LSTM_AI
174,23.249935,23.5,8712.677,LSTM_AI
175,23.249914,23.5,8994.08,LSTM_AI
176,23.249874,23.5,10402.057,LSTM_AI
177,23.249899,23.5,10654.087,LSTM_AI
178,23.249933,23.5,10862.957,LSTM_AI
179,23.249962,23.5,11041.553,LSTM_AI
180,23.249973,23.5,11602.937,LSTM_AI
181,23.249952,23.5,11753.356,LSTM_AI
182,23.24992,23.5,11845.245,LSTM_AI
183,23.249905,23.5,11903.399,LSTM_AI
184,23.249908,23.5,11962.541,LSTM_AI
185,23.249926,23.5,12008.408,LSTM_AI
186,23.249943,23.5,12043.281,LSTM_AI
187,23.249958,23.5,12069.856,LSTM_AI
188,23.249968,23.5,12162.324,LSTM_AI
189,23.24997,23.5,12248.804,LSTM_AI
190,23.249964,23.5,12328.926,LSTM_AI
191,23.249952,23.5,12404.801,LSTM_AI
192,23.249937,23.5,12468.856,LSTM_AI
193,23.249926,23.5,12531.491,LSTM_AI
194,23.249918,23.5,12592.752,LSTM_AI
195,23.249914,23.5,12651.902,LSTM_AI
196,23.249914,23.5,12534.184,LSTM_AI
197,23.249918,23.5,12409.509,LSTM_AI
198,23.24993,23.5,12280.602,LSTM_AI
199,23.249943,23.5,12147.966,LSTM_AI
200,23.24996,23.5,11981.08,LSTM_AI
201,23.249973,23.5,11810.072,LSTM_AI
202,23.249987,23.5,11634.952,LSTM_AI
203,23.249998,23.5,11456.009,LSTM_AI
204,23.250008,23.5,11339.473,LSTM_AI
205,23.250017,23.5,11200.367,LSTM_AI
206,23.250025,23.5,11039.243,LSTM_AI
207,23.25004,23.5,10893.036,LSTM_AI
208,23.250065,23.5,10819.727,LSTM_AI
209,23.250088,23.5,10739.5205,LSTM_AI
210,23.250105,23.5,10656.182,LSTM_AI
211,23.250114,23.5,10569.344,LSTM_AI
212,23.250116,23.5,10478.506,LSTM_AI
213,23.250124,23.5,10391.742,LSTM_AI
214,23.250141,23.5,10308.626,LSTM_AI
215,23.249887,23.5,9926.463,LSTM_AI
216,23.249487,23.5,10486.085,LSTM_AI
217,23.249487,23.5,10381.673,LSTM_AI
218,23.249502,23.5,10269.589,LSTM_AI
219,23.24951,23.5,10585.587,LSTM_AI
220,23.24946,23.5,10465.289,LSTM_AI
221,23.249407,23.5,10311.448,LSTM_AI
222,23.249355,23.5,10108.499,LSTM_AI
223,23.249308,23.5,9883.08,LSTM_AI
224,23.489788,23.5,3555.1936,LSTM_AI
225,23.499832,23.5,3016.6394,LSTM_AI
226,23.499865,23.5,2602.1094,LSTM_AI
227,23.499794,23.5,2243.1572,LSTM_AI
228,23.49976,23.5,803.23096,LSTM_AI
229,23.49973,23.5,578.0103,LSTM_AI
230,23.499836,23.5,472.73785,LSTM_AI
231,23.499874,23.5,330.58963,LSTM_AI
232,23.49989,23.5,254.80728,LSTM_AI
233,23.499924,23.5,332.39804,LSTM_AI
234,23.499964,23.5,387.6669,LSTM_AI
235,23.499973,23.5,451.10107,LSTM_AI
236,23.49979,23.5,359.0484,LSTM_AI
237,23.499655,23.5,370.16013,LSTM_AI
238,23.499584,23.5,374.76828,LSTM_AI
239,23.499533,23.5,378.98785,LSTM_AI
240,23.499596,23.5,190.74855,LSTM_AI
241,23.49964,23.5,179.99956,LSTM_AI
242,23.499668,23.5,164.6813,LSTM_AI
243,23.499676,23.5,151.47914,LSTM_AI
244,23.499609,23.5,307.6099,LSTM_AI
245,23.49954,23.5,304.12546,LSTM_AI
246,23.499496,23.5,308.7782,LSTM_AI
247,23.499481,23.5,309.94098,LSTM_AI
248,23.499481,23.5,370.62988,LSTM_AI
249,23.499456,23.5,381.60754,LSTM_AI
250,23.499434,23.5,397.68497,LSTM_AI
251,23.499428,23.5,477.3427,LSTM_AI
252,23.499434,23.5,424.8146,LSTM_AI
253,23.499403,23.5,445.61548,LSTM_AI
254,23.499363,23.5,443.29,LSTM_AI
255,23.499334,23.5,435.7244,LSTM_AI
256,23.499208,23.5,277.6063,LSTM_AI
257,23.499107,23.5,238.8267,LSTM_AI
258,23.499079,23.5,200.16014,LSTM_AI
259,23.49908,23.5,240.71735,LSTM_AI
260,23.49915,23.5,158.04628,LSTM_AI
261,23.499199,23.5,159.25476,LSTM_AI
262,23.499228,23.5,161.18091,LSTM_AI
263,23.49925,23.5,163.76756,LSTM_AI
264,23.499645,23.5,555.4624,LSTM_AI
265,23.499645,23.5,1629.6917,LSTM_AI
266,23.499691,23.5,1496.8182,LSTM_AI
267,23.499712,23.5,1663.9207,LSTM_AI
268,23.361916,23.5,3111.08,LSTM_AI
269,23.252617,23.5,3557.8982,LSTM_AI
270,23.250162,23.5,4179.7104,LSTM_AI
271,23.250088,23.5,4389.4985,LSTM_AI
272,23.250221,23.5,5848.2085,LSTM_AI
273,23.250238,23.5,6129.6885,LSTM_AI
274,23.250263,23.5,6372.186,LSTM_AI
275,23.250288,23.5,6587.1743,LSTM_AI
276,23.250408,23.5,7394.8657,LSTM_AI
277,23.250418,23.5,7638.0596,LSTM_AI
278,23.250296,23.5,8351.315,LSTM_AI
279,23.250275,23.5,8486.649,LSTM_AI
280,23.2503,23.5,8743.283,LSTM_AI
281,23.250322,23.5,8993.912,LSTM_AI
282,23.25033,23.5,9303.594,LSTM_AI
283,23.25032,23.5,9648.654,LSTM_AI
284,23.250296,23.5,9759.241,LSTM_AI
285,23.25027,23.5,9863.714,LSTM_AI
286,23.250254,23.5,9961.916,LSTM_AI
287,23.250242,23.5,10054.326,LSTM_AI
288,23.250233,23.5,10191.009,LSTM_AI
289,23.250223,23.5,10323.612,LSTM_AI
290,23.250208,23.5,10453.105,LSTM_AI
291,23.25019,23.5,10579.935,LSTM_AI
292,23.250174,23.5,10708.918,LSTM_AI
293,23.250156,23.5,10835.629,LSTM_AI
294,23.250137,23.5,10960.454,LSTM_AI
295,23.250116,23.5,11083.626,LSTM_AI
296,23.250097,23.5,11231.738,LSTM_AI
297,23.250074,23.5,11379.071,LSTM_AI
298,23.250048,23.5,11526.082,LSTM_AI
299,23.25002,23.5,11672.882,LSTM_AI
300,23.249989,23.5,11657.17,LSTM_AI
301,23.249971,23.5,11637.366,LSTM_AI
302,23.24997,23.5,11613.654,LSTM_AI
303,23.249979,23.5,11586.182,LSTM_AI
304,23.249992,23.5,11711.747,LSTM_AI
305,23.250002,23.5,11839.927,LSTM_AI
306,23.250002,23.5,11969.536,LSTM_AI
307,23.249996,23.5,12100.46,LSTM_AI
308,23.249989,23.5,12262.199,LSTM_AI
309,23.249975,23.5,12424.15,LSTM_AI
310,23.249954,23.5,12586.556,LSTM_AI
311,23.249928,23.5,12749.216,LSTM_AI
312,23.251432,23.5,13537.94,LSTM_AI
313,23.251347,23.5,13554.932,LSTM_AI
314,23.251204,23.5,13587.817,LSTM_AI
315,23.25109,23.5,13608.843,LSTM_AI
316,23.251013,23.5,13672.11,LSTM_AI
317,23.250965,23.5,13570.685,LSTM_AI
318,23.250927,23.5,13299.126,LSTM_AI
319,23.250889,23.5,12938.991,LSTM_AI
320,23.35443,23.5,6184.674,LSTM_AI
321,23.495237,23.5,5741.1094,LSTM_AI
322,23.499746,23.5,6003.8945,LSTM_AI
323,23.49956,23.5,5439.031,LSTM_AI
324,23.499105,23.5,2593.9163,LSTM_AI
325,23.498726,23.5,1690.621,LSTM_AI
326,23.499228,23.5,1479.2665,LSTM_AI
327,23.499208,23.5,1354.2991,LSTM_AI
328,23.499193,23.5,1303.2646,LSTM_AI
329,23.498857,23.5,1281.484,LSTM_AI
330,23.498827,23.5,1298.4269,LSTM_AI
331,23.49881,23.5,1317.636,LSTM_AI
332,23.499231,23.5,1320.6766,LSTM_AI
333,23.499247,23.5,1340.5055,LSTM_AI
334,23.49925,23.5,1301.5656,LSTM_AI
