Step,Indoor_Temp,Power,Action,Reward
0,21.712353,0.0,0,-0.026398334914360715
1,21.644056,0.0,0,-0.02603826787196807
2,21.580008,0.0,0,-0.02569318927578199
3,21.520046,0.0,0,-0.025362306848010295
4,21.46419,0.0,0,-0.025045079035081446
5,21.41214,0.0,0,-0.024740669351657148
6,21.363445,0.0,0,-0.02444851268923662
7,21.317932,0.0,0,-0.02417148262214555
8,21.275064,0.0,0,-0.023905642644045346
9,21.234446,0.0,0,-0.023650058864133353
10,21.19585,0.0,0,-0.023404084893873484
11,21.159124,0.0,0,-0.02316519531076476
12,21.12413,0.0,0,-0.022934889921114622
13,21.09074,0.0,0,-0.022712762681243504
14,21.058838,0.0,0,-0.022498447698293577
15,21.028326,0.0,0,-0.022293243545675707
16,20.99911,0.0,0,-0.02209492052480742
17,20.971092,0.0,0,-0.02190302561207488
18,20.944181,0.0,0,-0.021717180026924278
19,20.922066,0.0,0,-0.021536155212250413
20,20.901184,0.0,0,-0.021361087072941532
21,20.880114,0.0,0,-0.02119126136168076
22,20.859081,0.0,0,-0.021026161905898032
23,20.838444,0.0,0,-0.019143925713636427
24,20.852503,0.0,0,-0.019358405106930588
25,20.8694,0.0,0,-0.019327460541643107
26,20.872946,0.0,0,-0.019293838815675087
27,20.86622,0.0,0,-0.01920291524256625
28,20.855679,0.0,0,-0.01911878989623171
29,20.844881,0.0,0,-0.01904298960959945
30,20.835241,0.0,0,-0.018999583183207276
31,20.829782,0.0,0,-0.02108744755316778
32,22.941172,0.0,0,-0.17638521096109092
33,23.808994,0.0,0,-0.4912176338900369
34,24.436821,0.0,0,-0.7598212372656847
35,24.97184,0.0,1,-0.28248451335303654
36,23.499517,0.0,0,-0.9989436406342981
37,25.445835,0.0,1,-0.429048206434457
38,23.499287,0.0,0,-1.142027820546624
39,25.728205,0.0,1,-0.504740510121994
40,23.498999,0.0,0,-1.2597637490142357
41,25.95962,0.0,1,-0.5996323458437005
42,23.499735,0.0,0,-1.3536713589379288
43,26.142494,0.0,1,-0.6436253215480808
44,23.502472,0.0,0,-1.341560731430927
45,26.111912,0.0,1,-0.761692344664369
46,23.709656,0.0,0,-1.4463079397704908
47,26.306362,0.0,1,-0.7690367178579355
48,23.713327,0.0,0,-1.2777250168987184
49,25.97145,0.0,1,-0.6509194455695896
50,23.499218,0.0,0,-1.2582890095401693
51,25.937428,0.0,1,-0.6608405638728914
52,23.500153,0.0,0,-1.4987512971828674
53,26.406288,0.0,1,-1.1110453179842987
54,24.369503,0.0,0,-1.7117836824042616
55,26.837736,0.0,1,-0.9094143170621475
56,23.961773,0.0,0,-1.7344313007958285
57,26.882524,0.0,1,-0.9342671729101957
58,24.019203,0.0,0,-1.768961566312356
59,26.961142,0.0,1,-0.8614128151739533
60,23.885899,0.0,0,-1.7464026356047493
61,26.919199,0.0,1,-0.7584899584882321
62,23.695345,0.0,0,-1.6875736547982965
63,26.80535,0.0,1,-0.6400662525793022
64,23.499775,0.0,0,-1.5066430321510302
65,26.447393,0.0,1,-0.5564059287067283
66,23.498426,0.0,0,-1.4382562454822165
67,26.3139,0.0,1,-0.5014695473738416
68,23.4986,0.0,0,-1.3680518572582918
69,26.174482,0.0,1,-0.43017065030413426
70,23.498993,0.0,0,-1.303342376166521
71,26.046186,0.0,1,-0.17263057741251991
72,23.49992,0.0,0,-0.5403293047590281
73,24.4794,0.0,0,-0.8422897091316869
74,25.077976,0.0,1,-0.1520466468671547
75,23.499949,0.0,0,-0.0366345353470934
76,23.500433,0.0,0,-0.21832679241739777
77,23.86096,0.0,0,-0.2940320418466016
78,24.011929,0.0,0,-0.3378783402724892
79,24.098982,0.0,0,-0.21218176531577393
80,23.848112,0.0,0,-0.0679025055530008
81,23.56053,0.0,0,-0.037017195089433456
82,23.363583,0.0,0,-0.036340415221894413
83,23.234747,0.0,0,-0.032529195357188845
84,23.045506,0.0,0,-0.03184045716299861
85,22.842579,0.0,0,-0.031109760025339432
86,22.66614,0.0,0,-0.030552596681164137
87,22.51925,0.0,0,-0.03001225249523296
88,22.39161,0.0,0,-0.02946699316312902
89,22.275702,0.0,0,-0.028933745338092197
90,22.16875,0.0,0,-0.02842113856676502
91,22.069946,0.0,0,-0.02798819456158918
92,21.979065,0.0,0,-0.027570434130485558
93,21.895086,0.0,0,-0.0271666753348282
94,21.816994,0.0,0,-0.02677671057711765
95,21.744051,0.0,0,-0.026400411809055495
96,21.675789,0.0,0,-0.026037434454783428
97,21.611761,0.0,0,-0.025687365507968987
98,21.551548,0.0,0,-0.025349793074440262
99,21.494772,0.0,0,-0.025026259019421772
100,21.44104,0.0,0,-0.024714130388921677
101,21.390066,0.0,0,-0.024412748152500368
102,21.341614,0.0,0,-0.024121521349181725
103,21.295462,0.0,0,-0.023839101421473368
104,21.251366,0.0,0,-0.02356743728523673
105,21.209013,0.0,0,-0.023305414878871635
106,21.16833,0.0,0,-0.0230524215849019
107,21.129343,0.0,0,-0.022809297670745448
108,21.091978,0.0,0,-0.02257420247131402
109,21.056162,0.0,0,-0.0223465671625561
110,21.02182,0.0,0,-0.022125982300940556
111,20.988855,0.0,0,-0.021911100562118323
112,20.957241,0.0,0,-0.021703007730048296
113,20.926905,0.0,0,-0.021501670722966656
114,20.902277,0.0,0,-0.021308325844551067
115,20.879112,0.0,0,-0.02112202933814611
116,20.855911,0.0,0,-0.02094216129158446
117,20.83299,0.0,0,-0.020768447671473643
118,20.810759,0.0,0,-0.0206008308466669
119,20.78934,0.0,0,-0.018671987625666037
120,20.80233,0.0,0,-0.018844494239379447
121,20.817112,0.0,0,-0.018771659310180582
122,20.818958,0.0,0,-0.01869565027425346
123,20.811302,0.0,0,-0.018625976686033646
124,20.80025,0.0,0,-0.018562529600047947
125,20.789011,0.0,0,-0.01850671545292269
126,20.778742,0.0,0,-0.01847865933586985
127,20.772245,0.0,0,-0.020609872332767
128,22.886395,0.0,0,-0.14778226228145996
129,23.752676,0.0,0,-0.4683141760860312
130,24.391697,0.0,0,-0.7370053088641688
131,24.926931,0.0,1,-0.2701777021944648
132,23.499475,0.0,0,-0.9928101606165954
133,25.434366,0.0,1,-0.3775063958376252
134,23.499285,0.0,0,-1.1469762435467254
135,25.734247,0.0,1,-0.4969395981430021
136,23.499125,0.0,0,-1.2964084834137046
137,26.006119,0.0,1,-0.5837353843217531
138,23.499033,0.0,0,-1.387824656209735
