Step,Indoor_Temp,Power,Action,Reward
0,21.712353,527.9666982872143,0,-0.026398334914360715
1,21.644056,520.7653574393614,0,-0.02603826787196807
2,21.580008,513.8637855156397,0,-0.02569318927578199
3,21.520046,507.2461369602059,0,-0.025362306848010295
4,21.46419,500.9015807016289,0,-0.025045079035081446
5,21.41214,494.81338703314293,0,-0.024740669351657148
6,21.363445,488.9702537847324,0,-0.02444851268923662
7,21.317932,483.429652442911,0,-0.02417148262214555
8,21.275064,478.1128528809069,0,-0.023905642644045346
9,21.234446,473.001177282667,0,-0.023650058864133353
10,21.19585,468.08169787746965,0,-0.023404084893873484
11,21.159124,463.30390621529517,0,-0.02316519531076476
12,21.12413,458.6977984222924,0,-0.022934889921114622
13,21.09074,454.25525362487,0,-0.022712762681243504
14,21.058838,449.9689539658715,0,-0.022498447698293577
15,21.028326,445.8648709135141,0,-0.022293243545675707
16,20.99911,441.89841049614836,0,-0.02209492052480742
17,20.971092,438.0605122414976,0,-0.02190302561207488
18,20.944181,434.34360053848553,0,-0.021717180026924278
19,20.922066,430.72310424500824,0,-0.021536155212250413
20,20.901184,427.2217414588306,0,-0.021361087072941532
21,20.880114,423.8252272336152,0,-0.02119126136168076
22,20.859081,420.5232381179606,0,-0.021026161905898032
23,20.838444,382.8785142727285,0,-0.019143925713636427
24,20.852503,387.16810213861174,0,-0.019358405106930588
25,20.8694,386.5492108328621,0,-0.019327460541643107
26,20.872946,385.87677631350175,0,-0.019293838815675087
27,20.86622,384.058304851325,0,-0.01920291524256625
28,20.855679,382.3757979246342,0,-0.01911878989623171
29,20.844881,380.85979219198896,0,-0.01904298960959945
30,20.835241,379.9916636641455,0,-0.018999583183207276
31,20.829782,421.7489510633556,0,-0.02108744755316778
32,22.941172,437.75563247778905,0,-0.17638521096109092
33,23.808994,456.1400435673721,0,-0.4912176338900369
34,24.436821,478.01620518604796,0,-0.7598212372656847
35,24.97184,5649.690267060731,1,-0.28248451335303654
36,23.499517,520.5145926939264,0,-0.9989436406342981
37,25.445835,8580.96412868914,1,-0.429048206434457
38,23.499287,558.5180002057468,0,-1.142027820546624
39,25.728205,10094.810202439878,1,-0.504740510121994
40,23.498999,599.0737359281921,0,-1.2597637490142357
41,25.95962,11992.64691687401,1,-0.5996323458437005
42,23.499735,648.4794484078938,0,-1.3536713589379288
43,26.142494,12847.781427005566,1,-0.6436253215480808
44,23.502472,712.096561222409,0,-1.341560731430927
45,26.111912,13137.279876722921,1,-0.761692344664369
46,23.709656,862.5466073703888,0,-1.4463079397704908
47,26.306362,13247.46601298054,1,-0.7690367178579355
48,23.713327,839.9844096032768,0,-1.2777250168987184
49,25.97145,13018.388911391792,1,-0.6509194455695896
50,23.499218,791.505558786522,0,-1.2582890095401693
51,25.937428,13215.27700347139,1,-0.6608405638728914
52,23.500153,912.1374356479735,0,-1.4987512971828674
53,26.406288,13525.87161362382,1,-1.1110453179842987
54,24.369503,858.3120069545915,0,-1.7117836824042616
55,26.837736,13570.561650748132,1,-0.9094143170621475
56,23.961773,863.3876301796416,0,-1.7344313007958285
57,26.882524,13493.306856102743,1,-0.9342671729101957
58,24.019203,767.8068462318715,0,-1.768961566312356
59,26.961142,13369.27596625359,1,-0.8614128151739533
60,23.885899,736.0620098364054,0,-1.7464026356047493
61,26.919199,13216.340579051153,1,-0.7584899584882321
62,23.695345,697.9740548464688,0,-1.6875736547982965
63,26.80535,12801.325051586042,1,-0.6400662525793022
64,23.499775,658.9171243065797,0,-1.5066430321510302
65,26.447393,11128.118574134567,1,-0.5564059287067283
66,23.498426,626.1177156596125,0,-1.4382562454822165
67,26.3139,10029.390947476833,1,-0.5014695473738416
68,23.4986,616.2154422305048,0,-1.3680518572582918
69,26.174482,8603.413006082685,1,-0.43017065030413426
70,23.498993,604.9745016652275,0,-1.303342376166521
71,26.046186,3452.6115482503983,1,-0.17263057741251991
72,23.49992,1012.5846759842283,0,-0.5403293047590281
73,24.4794,1066.028961047307,0,-0.8422897091316869
74,25.077976,3040.9329373430937,1,-0.1520466468671547
75,23.499949,728.3572354760053,0,-0.0366345353470934
76,23.500433,756.938663841692,0,-0.21832679241739777
77,23.86096,761.3467558661431,0,-0.2940320418466016
78,24.011929,767.7448734765596,0,-0.3378783402724892
79,24.098982,762.5153552221311,0,-0.21218176531577393
80,23.848112,752.7620121445785,0,-0.0679025055530008
81,23.56053,740.3439017886691,0,-0.037017195089433456
82,23.363583,726.8083044378883,0,-0.036340415221894413
83,23.234747,650.5839071437769,0,-0.032529195357188845
84,23.045506,636.8091432599722,0,-0.03184045716299861
85,22.842579,622.1952005067886,0,-0.031109760025339432
86,22.66614,611.0519336232827,0,-0.030552596681164137
87,22.51925,600.2450499046591,0,-0.03001225249523296
88,22.39161,589.3398632625804,0,-0.02946699316312902
89,22.275702,578.6749067618439,0,-0.028933745338092197
90,22.16875,568.4227713353004,0,-0.02842113856676502
91,22.069946,559.7638912317835,0,-0.02798819456158918
92,21.979065,551.4086826097111,0,-0.027570434130485558
93,21.895086,543.333506696564,0,-0.0271666753348282
94,21.816994,535.534211542353,0,-0.02677671057711765
95,21.744051,528.0082361811099,0,-0.026400411809055495
96,21.675789,520.7486890956685,0,-0.026037434454783428
97,21.611761,513.7473101593797,0,-0.025687365507968987
98,21.551548,506.99586148880525,0,-0.025349793074440262
99,21.494772,500.52518038843544,0,-0.025026259019421772
100,21.44104,494.28260777843354,0,-0.024714130388921677
101,21.390066,488.25496305000735,0,-0.024412748152500368
102,21.341614,482.43042698363445,0,-0.024121521349181725
103,21.295462,476.78202842946735,0,-0.023839101421473368
104,21.251366,471.3487457047346,0,-0.02356743728523673
105,21.209013,466.10829757743267,0,-0.023305414878871635
106,21.16833,461.04843169803803,0,-0.0230524215849019
107,21.129343,456.18595341490897,0,-0.022809297670745448
108,21.091978,451.4840494262804,0,-0.02257420247131402
109,21.056162,446.93134325112203,0,-0.0223465671625561
110,21.02182,442.5196460188111,0,-0.022125982300940556
111,20.988855,438.2220112423664,0,-0.021911100562118323
112,20.957241,434.0601546009659,0,-0.021703007730048296
113,20.926905,430.0334144593331,0,-0.021501670722966656
114,20.902277,426.16651689102133,0,-0.021308325844551067
115,20.879112,422.4405867629222,0,-0.02112202933814611
116,20.855911,418.84322583168915,0,-0.02094216129158446
117,20.83299,415.36895342947287,0,-0.020768447671473643
118,20.810759,412.01661693333796,0,-0.0206008308466669
119,20.78934,373.43975251332074,0,-0.018671987625666037
120,20.80233,376.8898847875889,0,-0.018844494239379447
121,20.817112,375.4331862036116,0,-0.018771659310180582
122,20.818958,373.9130054850692,0,-0.01869565027425346
123,20.811302,372.5195337206729,0,-0.018625976686033646
124,20.80025,371.25059200095893,0,-0.018562529600047947
125,20.789011,370.13430905845377,0,-0.01850671545292269
126,20.778742,369.573186717397,0,-0.01847865933586985
127,20.772245,412.19744665533995,0,-0.020609872332767
128,22.886395,428.87788291860545,0,-0.14778226228145996
129,23.752676,449.32020514655466,0,-0.4683141760860312
130,24.391697,470.80097378641466,0,-0.7370053088641688
131,24.926931,5403.554043889296,1,-0.2701777021944648
132,23.499475,512.5365995723885,0,-0.9928101606165954
133,25.434366,7550.127916752504,1,-0.3775063958376252
134,23.499285,597.0434780225089,0,-1.1469762435467254
135,25.734247,9938.791962860041,1,-0.4969395981430021
136,23.499125,866.9851847118714,0,-1.2964084834137046
137,26.006119,11674.707686435062,1,-0.5837353843217531
138,23.499033,1044.6807944222626,0,-1.387824656209735
139,26.17118,12298.887665968792,1,-0.6166791320437994
140,23.50347,1103.3108352965216,0,-1.3989970960776774
141,26.187664,13053.835985928423,1,-0.7578655896173754
142,23.710348,1129.0439445928907,0,-1.498473540011169
143,26.384043,13122.775857587516,1,-0.7479294547978794
144,23.68358,1063.731638994226,0,-1.3413529008393037
145,26.076332,12705.54987460534,1,-0.635277493730267
146,23.49906,985.5147907336908,0,-1.314224966247434
147,26.029898,13026.379267119364,1,-0.6513189633559683
148,23.499641,925.4787778431396,0,-1.4919961097583616
149,26.391445,13071.961242602452,1,-0.6547418521617511
150,23.502287,877.1118126183815,0,-1.5321136846781727
151,26.476517,13323.02119581123,1,-0.7072903334916956
152,23.58228,831.7460223070326,0,-1.6384710291642866
153,26.693768,13314.723199478785,1,-0.7896690636130601
154,23.747866,845.3255562964131,0,-1.7146568907436892
155,26.844782,13263.112255704002,1,-0.7778091611915094
156,23.729307,758.7365988848842,0,-1.6797183600747028
157,26.783564,13178.721988253106,1,-0.751196644082811
158,23.68452,729.3563017948206,0,-1.670213570476999
159,26.767492,12913.382583074628,1,-0.6486989938583146
160,23.50606,701.009044530154,0,-1.558115523099583
161,26.54613,12572.38894766502,1,-0.628619447383251
162,23.498642,663.9992130534099,0,-1.4864382339745181
163,26.406477,11230.827968037558,1,-0.5615413984018779
164,23.498579,653.6267081868712,0,-1.4150296161155969
165,26.264696,10033.118779107304,1,-0.5016559389553652
166,23.499119,641.7824933330955,0,-1.3477731478075654
167,26.131369,3835.8634380888416,1,-0.1917931719044421
168,23.499868,1048.4418101585673,0,-0.5725979994843852
169,24.540352,3655.737703609063,1,-0.1830009520967334
170,23.500427,1025.588110760076,0,-0.5451055346280885
171,24.487652,812.780634928073,0,-0.5998430300624025
172,24.618408,2050.4009940144892,1,-0.10252004970072447
173,23.499561,726.5880110871951,0,-0.03632940055435976
174,23.322927,755.2429309862757,0,-0.08851770088023683
175,23.601511,755.8886731684103,0,-0.06441485050775898
176,23.553242,754.365916695865,0,-0.037718295834793254
177,23.430372,745.7885870015984,0,-0.03728942935007992
178,23.285467,733.3020626034228,0,-0.03666510313017114
179,23.168499,656.7219858939119,0,-0.032836099294695595
180,22.989466,642.7386379194826,0,-0.03213693189597413
181,22.800728,627.7838758144148,0,-0.03138919379072074
182,22.638256,616.7148087629145,0,-0.030835740438145725
183,22.50275,605.8694553949553,0,-0.030293472769747764
184,22.38409,594.7716215160826,0,-0.029738581075804134
185,22.275473,583.8451019736711,0,-0.029192255098683558
186,22.174526,574.3643166949537,0,-0.028718215834747686
187,22.080568,565.7250470051431,0,-0.028286252350257154
188,21.993078,557.3548627927349,0,-0.027867743139636747
189,21.91116,549.2342431199638,0,-0.027461712155998193
190,21.834116,541.3554813627304,0,-0.027067774068136524
191,21.761488,533.7572333123416,0,-0.02668786166561708
192,21.692858,526.3888864429508,0,-0.026319444322147542
193,21.627901,519.2470585849425,0,-0.025962352929247125
194,21.56634,512.3286353027413,0,-0.025616431765137067
195,21.50792,505.59160822678,0,-0.025279580411339
196,21.452469,499.07236726998264,0,-0.024953618363499134
197,21.399776,492.7671882947464,0,-0.024638359414737323
198,21.349634,486.67227482237547,0,-0.024333613741118774
199,21.301851,480.77989771208644,0,-0.024038994885604324
200,21.256714,475.1066759241849,0,-0.023755333796209248
201,21.213898,469.6316957415483,0,-0.023481584787077417
202,21.17309,464.34943867151424,0,-0.023217471933575713
203,21.134125,459.27014693235475,0,-0.02296350734661774
204,21.096933,454.3771904115282,0,-0.022718859520576413
205,21.061441,449.6656427103669,0,-0.022483282135518347
206,21.027575,445.1305588146393,0,-0.022256527940731966
207,20.995255,440.78700056321804,0,-0.022039350028160903
208,20.96439,436.6052661843196,0,-0.021830263309215982
209,20.934895,432.5771827125065,0,-0.021628859135625327
210,20.910805,428.7202800544158,0,-0.021436014002720792
211,20.888206,424.97021756990995,0,-0.021248510878495497
212,20.865477,421.3584904373309,0,-0.021067924521866545
213,20.842884,417.87609087874364,0,-0.020893804543937182
214,20.820875,414.515956726113,0,-0.02072579783630565
215,20.799608,375.6066422504443,0,-0.018780332112522214
216,20.812874,379.90249000104353,0,-0.01899512450005218
217,20.828314,379.3139312551293,0,-0.018965696562756467
218,20.830746,378.70348796118753,0,-0.018935174398059376
219,20.823505,377.68672104145793,0,-0.018884336052072896
220,20.81276,376.81708654415513,0,-0.018840854327207758
221,20.801819,376.1164526173451,0,-0.018805822630867254
222,20.791786,375.71362669156827,0,-0.018785681334578416
223,20.785013,417.00578840905905,0,-0.020850289420452955
224,22.893995,432.4807597971835,0,-0.14904533415155524
225,23.754843,450.62572583623285,0,-0.4595422021530251
226,24.374022,470.438276175122,0,-0.7231617864320483
227,24.89928,5058.767701482392,1,-0.25309275522944136
228,23.500309,510.4235846560756,0,-0.9713899945254825
229,25.391737,8313.610084415588,1,-0.4156805042207794
230,23.499493,551.4641400243365,0,-1.117306953335126
231,25.679468,9769.563382791448,1,-0.4884781691395724
232,23.498938,591.9587654856479,0,-1.2394778140882983
233,25.91976,11651.425042978333,1,-0.5825712521489167
234,23.499422,641.2220374266036,0,-1.3363201134343012
235,26.108519,11450.545580552844,1,-0.5725272790276422
236,23.499287,662.2171685752376,0,-1.3212502844649345
237,26.076279,12892.816406317761,1,-0.6491182971323034
238,23.508955,682.6258832879801,0,-1.380706101447596
239,26.19315,12729.33845238683,1,-0.6364669226193416
240,23.499645,695.6381151815626,0,-1.2008122936796264
241,25.83206,11309.071733776953,1,-0.5654535866888477
242,23.499306,711.342225628411,0,-1.2204620863166056
243,25.86979,11954.59373483338,1,-0.5977296867416689
244,23.499199,731.1059697033445,0,-1.456807634770394
245,26.340506,12890.954314016115,1,-0.7944737636747158
246,23.799852,737.7622865285804,0,-1.5301997606896482
247,26.486624,12946.388659962839,1,-0.9280795386417824
248,24.06152,752.5065404404436,0,-1.6820342525473588
249,26.788818,12805.572363932262,1,-0.6417066071721418
250,23.502855,762.1195479889604,0,-1.6241176466862794
251,26.672024,12797.429086815007,1,-0.640201765360062
252,23.50066,768.7161400152172,0,-1.5862640890578807
