Network,Device,Algorithm,Dataset,Net_Latency,HW_Latency,Total_Latency,Jitter,Throughput,Status
WiFi6,ESP32-S3,PPO (Standard),Tokyo,3.04255,8.49134,11.5339,0.816753,0.01472,PERFECT
WiFi6,ESP32-S3,Hybrid LSTM-PPO,Kuala Lumpur,2.92892,264.552,267.481,0.777628,0.7008,GOOD
WiFi6,ESP32-S3,Hybrid LSTM-PPO,New York,3.0234,264.552,267.575,0.824605,0.65984,GOOD
WiFi6,ESP32-S3,Hybrid LSTM-PPO,Tokyo,3.08304,264.552,267.635,0.82378,0.65984,GOOD
WiFi7_Sim,Laptop (Ryzen 7),PID Control,Kuala Lumpur,1.04778,0.00728563,1.05507,0.298487,0.06592,PERFECT
WiFi7_Sim,Laptop (Ryzen 7),PID Control,New York,0.969457,0.00728563,0.976743,0.294943,0.02496,PERFECT
WiFi7_Sim,Laptop (Ryzen 7),PID Control,Tokyo,0.988781,0.00728563,0.996066,0.311791,0.02496,PERFECT
WiFi7_Sim,Laptop (Ryzen 7),RBC (Rule-Based),Kuala Lumpur,1.01483,0.00123857,1.01607,0.293354,0.05568,PERFECT
WiFi7_Sim,Laptop (Ryzen 7),RBC (Rule-Based),New York,0.95175,0.00123857,0.952988,0.300358,0.01472,PERFECT
WiFi7_Sim,Laptop (Ryzen 7),RBC (Rule-Based),Tokyo,1.02146,0.00123857,1.0227,0.302243,0.01472,PERFECT
WiFi7_Sim,Laptop (Ryzen 7),DQN,Kuala Lumpur,0.979476,0.0939387,1.07341,0.295823,0.20928,PERFECT
WiFi7_Sim,Laptop (Ryzen 7),DQN,New York,0.968648,0.0939387,1.06259,0.314196,0.16832,PERFECT
WiFi7_Sim,Laptop (Ryzen 7),DQN,Tokyo,1.02842,0.0939387,1.12235,0.302917,0.16832,PERFECT
WiFi7_Sim,Laptop (Ryzen 7),PPO (Standard),Kuala Lumpur,0.975927,0.0339654,1.00989,0.31142,0.05568,PERFECT
WiFi7_Sim,Laptop (Ryzen 7),PPO (Standard),New York,0.997776,0.0339654,1.03174,0.309769,0.01472,PERFECT
WiFi7_Sim,Laptop (Ryzen 7),PPO (Standard),Tokyo,1.03419,0.0339654,1.06816,0.306085,0.01472,PERFECT
WiFi7_Sim,Laptop (Ryzen 7),Hybrid LSTM-PPO,Kuala Lumpur,1.05097,1.05821,2.10918,0.314285,0.7008,GOOD
WiFi7_Sim,Laptop (Ryzen 7),Hybrid LSTM-PPO,New York,0.972565,1.05821,2.03077,0.290619,0.65984,GOOD
WiFi7_Sim,Laptop (Ryzen 7),Hybrid LSTM-PPO,Tokyo,1.04876,1.05821,2.10697,0.309229,0.65984,GOOD
WiFi7_Sim,Raspberry Pi 5,PID Control,Kuala Lumpur,1.0214,0.0874275,1.10883,0.285625,0.06592,PERFECT
WiFi7_Sim,Raspberry Pi 5,PID Control,New York,1.01136,0.0874275,1.09879,0.296775,0.02496,PERFECT
WiFi7_Sim,Raspberry Pi 5,PID Control,Tokyo,1.00302,0.0874275,1.09044,0.309827,0.02496,PERFECT
WiFi7_Sim,Raspberry Pi 5,RBC (Rule-Based),Kuala Lumpur,0.964445,0.0148629,0.979307,0.31096,0.05568,PERFECT
WiFi7_Sim,Raspberry Pi 5,RBC (Rule-Based),New York,1.00568,0.0148629,1.02054,0.295156,0.01472,PERFECT
WiFi7_Sim,Raspberry Pi 5,RBC (Rule-Based),Tokyo,1.04793,0.0148629,1.06279,0.293913,0.01472,PERFECT
WiFi7_Sim,Raspberry Pi 5,DQN,Kuala Lumpur,1.03285,1.12726,2.16011,0.302788,0.20928,GOOD
WiFi7_Sim,Raspberry Pi 5,DQN,New York,0.984837,1.12726,2.1121,0.293885,0.16832,GOOD
WiFi7_Sim,Raspberry Pi 5,DQN,Tokyo,0.9537,1.12726,2.08096,0.292058,0.16832,GOOD
WiFi7_Sim,Raspberry Pi 5,PPO (Standard),Kuala Lumpur,0.998264,0.407584,1.40585,0.306496,0.05568,PERFECT
WiFi7_Sim,Raspberry Pi 5,PPO (Standard),New York,1.04452,0.407584,1.4521,0.307173,0.01472,PERFECT
WiFi7_Sim,Raspberry Pi 5,PPO (Standard),Tokyo,1.01127,0.407584,1.41886,0.301405,0.01472,PERFECT
WiFi7_Sim,Raspberry Pi 5,Hybrid LSTM-PPO,Kuala Lumpur,1.04106,12.6985,13.7395,0.309602,0.7008,GOOD
WiFi7_Sim,Raspberry Pi 5,Hybrid LSTM-PPO,New York,1.03219,12.6985,13.7307,0.289231,0.65984,GOOD
WiFi7_Sim,Raspberry Pi 5,Hybrid LSTM-PPO,Tokyo,1.03697,12.6985,13.7355,0.295664,0.65984,GOOD
WiFi7_Sim,Raspberry Pi 4,PID Control,Kuala Lumpur,1.03749,0.203998,1.24148,0.299122,0.06592,PERFECT
WiFi7_Sim,Raspberry Pi 4,PID Control,New York,0.959527,0.203998,1.16352,0.286127,0.02496,PERFECT
WiFi7_Sim,Raspberry Pi 4,PID Control,Tokyo,1.04546,0.203998,1.24946,0.312621,0.02496,PERFECT
WiFi7_Sim,Raspberry Pi 4,RBC (Rule-Based),Kuala Lumpur,1.03674,0.03468,1.07142,0.310794,0.05568,PERFECT
WiFi7_Sim,Raspberry Pi 4,RBC (Rule-Based),New York,0.965885,0.03468,1.00056,0.299705,0.01472,PERFECT
WiFi7_Sim,Raspberry Pi 4,RBC (Rule-Based),Tokyo,0.960642,0.03468,0.995322,0.31218,0.01472,PERFECT
WiFi7_Sim,Raspberry Pi 4,DQN,Kuala Lumpur,1.01338,2.63028,3.64366,0.297028,0.20928,GOOD
WiFi7_Sim,Raspberry Pi 4,DQN,New York,1.03837,2.63028,3.66866,0.294682,0.16832,GOOD
WiFi7_Sim,Raspberry Pi 4,DQN,Tokyo,1.02343,2.63028,3.65372,0.297584,0.16832,GOOD
WiFi7_Sim,Raspberry Pi 4,PPO (Standard),Kuala Lumpur,0.958054,0.95103,1.90908,0.30571,0.05568,PERFECT
WiFi7_Sim,Raspberry Pi 4,PPO (Standard),New York,1.04498,0.95103,1.99601,0.305557,0.01472,PERFECT
WiFi7_Sim,Raspberry Pi 4,PPO (Standard),Tokyo,0.998948,0.95103,1.94998,0.286425,0.01472,PERFECT
WiFi7_Sim,Raspberry Pi 4,Hybrid LSTM-PPO,Kuala Lumpur,1.03704,29.6298,30.6668,0.291513,0.7008,GOOD
WiFi7_Sim,Raspberry Pi 4,Hybrid LSTM-PPO,New York,0.964769,29.6298,30.5946,0.300364,0.65984,GOOD
WiFi7_Sim,Raspberry Pi 4,Hybrid LSTM-PPO,Tokyo,1.05595,29.6298,30.6858,0.302169,0.65984,GOOD
WiFi7_Sim,Nvidia Jetson,PID Control,Kuala Lumpur,1.03674,0.0364281,1.07317,0.286834,0.06592,PERFECT
WiFi7_Sim,Nvidia Jetson,PID Control,New York,1.01589,0.0364281,1.05232,0.295782,0.02496,PERFECT
WiFi7_Sim,Nvidia Jetson,PID Control,Tokyo,1.00172,0.0364281,1.03814,0.310187,0.02496,PERFECT
WiFi7_Sim,Nvidia Jetson,RBC (Rule-Based),Kuala Lumpur,0.960351,0.00619286,0.966544,0.3016,0.05568,PERFECT
WiFi7_Sim,Nvidia Jetson,RBC (Rule-Based),New York,1.03911,0.00619286,1.0453,0.301866,0.01472,PERFECT
WiFi7_Sim,Nvidia Jetson,RBC (Rule-Based),Tokyo,0.977599,0.00619286,0.983792,0.294202,0.01472,PERFECT
WiFi7_Sim,Nvidia Jetson,DQN,Kuala Lumpur,0.966271,0.469694,1.43596,0.310285,0.20928,PERFECT
WiFi7_Sim,Nvidia Jetson,DQN,New York,1.01069,0.469694,1.48039,0.311976,0.16832,PERFECT
WiFi7_Sim,Nvidia Jetson,DQN,Tokyo,0.953523,0.469694,1.42322,0.29332,0.16832,PERFECT
WiFi7_Sim,Nvidia Jetson,PPO (Standard),Kuala Lumpur,1.04487,0.169827,1.21469,0.294974,0.05568,PERFECT
WiFi7_Sim,Nvidia Jetson,PPO (Standard),New York,0.978999,0.169827,1.14883,0.30346,0.01472,PERFECT
WiFi7_Sim,Nvidia Jetson,PPO (Standard),Tokyo,0.961505,0.169827,1.13133,0.304122,0.01472,PERFECT
WiFi7_Sim,Nvidia Jetson,Hybrid LSTM-PPO,Kuala Lumpur,1.02485,5.29104,6.31589,0.29708,0.7008,GOOD
WiFi7_Sim,Nvidia Jetson,Hybrid LSTM-PPO,New York,1.01472,5.29104,6.30576,0.295703,0.65984,GOOD
WiFi7_Sim,Nvidia Jetson,Hybrid LSTM-PPO,Tokyo,1.05007,5.29104,6.3411,0.297231,0.65984,GOOD
WiFi7_Sim,ESP32-S3,PID Control,Kuala Lumpur,1.00341,1.82141,2.82482,0.287736,0.06592,PERFECT
WiFi7_Sim,ESP32-S3,PID Control,New York,1.03067,1.82141,2.85208,0.297891,0.02496,PERFECT
WiFi7_Sim,ESP32-S3,PID Control,Tokyo,0.958515,1.82141,2.77992,0.285518,0.02496,PERFECT
WiFi7_Sim,ESP32-S3,RBC (Rule-Based),Kuala Lumpur,1.04228,0.309643,1.35192,0.311529,0.05568,PERFECT
WiFi7_Sim,ESP32-S3,RBC (Rule-Based),New York,1.03105,0.309643,1.34069,0.308603,0.01472,PERFECT
WiFi7_Sim,ESP32-S3,RBC (Rule-Based),Tokyo,1.00085,0.309643,1.31049,0.2969,0.01472,PERFECT
WiFi7_Sim,ESP32-S3,DQN,Kuala Lumpur,1.032,23.4847,24.5167,0.304839,0.20928,PERFECT
WiFi7_Sim,ESP32-S3,DQN,New York,0.953419,23.4847,24.4381,0.294486,0.16832,PERFECT
WiFi7_Sim,ESP32-S3,DQN,Tokyo,1.04231,23.4847,24.527,0.291369,0.16832,PERFECT
WiFi7_Sim,ESP32-S3,PPO (Standard),Kuala Lumpur,0.985431,8.49134,9.47677,0.301087,0.05568,PERFECT
WiFi7_Sim,ESP32-S3,PPO (Standard),New York,0.998896,8.49134,9.49024,0.308949,0.01472,PERFECT
WiFi7_Sim,ESP32-S3,PPO (Standard),Tokyo,1.04974,8.49134,9.54108,0.304635,0.01472,PERFECT
WiFi7_Sim,ESP32-S3,Hybrid LSTM-PPO,Kuala Lumpur,0.996815,264.552,265.549,0.299747,0.7008,GOOD
WiFi7_Sim,ESP32-S3,Hybrid LSTM-PPO,New York,1.02618,264.552,265.578,0.308145,0.65984,GOOD
WiFi7_Sim,ESP32-S3,Hybrid LSTM-PPO,Tokyo,0.988617,264.552,265.54,0.311276,0.65984,GOOD
4G_LTE,Laptop (Ryzen 7),PID Control,Kuala Lumpur,19.7176,0.00728563,19.7249,3.54449,0.06592,GOOD
4G_LTE,Laptop (Ryzen 7),PID Control,New York,20.9348,0.00728563,20.9421,3.35539,0.02496,GOOD
4G_LTE,Laptop (Ryzen 7),PID Control,Tokyo,19.8308,0.00728563,19.8381,3.42522,0.02496,GOOD
4G_LTE,Laptop (Ryzen 7),RBC (Rule-Based),Kuala Lumpur,19.3902,0.00123857,19.3914,3.53389,0.052896,GOOD
4G_LTE,Laptop (Ryzen 7),RBC (Rule-Based),New York,19.5203,0.00123857,19.5215,3.56103,0.01472,GOOD
4G_LTE,Laptop (Ryzen 7),RBC (Rule-Based),Tokyo,20.891,0.00123857,20.8922,3.40965,0.01472,GOOD
4G_LTE,Laptop (Ryzen 7),DQN,Kuala Lumpur,20.8559,0.0939387,20.9498,3.42889,0.20928,GOOD
4G_LTE,Laptop (Ryzen 7),DQN,New York,19.4121,0.0939387,19.5061,3.5103,0.16832,GOOD
4G_LTE,Laptop (Ryzen 7),DQN,Tokyo,19.453,0.0939387,19.547,3.3584,0.16832,GOOD
4G_LTE,Laptop (Ryzen 7),PPO (Standard),Kuala Lumpur,20.3461,0.0339654,20.38,3.5297,0.05568,GOOD
4G_LTE,Laptop (Ryzen 7),PPO (Standard),New York,19.071,0.0339654,19.1049,3.40994,0.01472,GOOD
4G_LTE,Laptop (Ryzen 7),PPO (Standard),Tokyo,19.8303,0.0339654,19.8643,3.51964,0.01472,GOOD
4G_LTE,Laptop (Ryzen 7),Hybrid LSTM-PPO,Kuala Lumpur,20.43,1.05821,21.4882,3.62134,0.7008,GOOD
4G_LTE,Laptop (Ryzen 7),Hybrid LSTM-PPO,New York,21.6397,1.05821,22.6979,3.39542,0.65984,GOOD
4G_LTE,Laptop (Ryzen 7),Hybrid LSTM-PPO,Tokyo,20.36,1.05821,21.4182,3.55561,0.65984,GOOD
4G_LTE,Raspberry Pi 5,PID Control,Kuala Lumpur,19.2139,0.0874275,19.3013,3.33831,0.06592,GOOD
4G_LTE,Raspberry Pi 5,PID Control,New York,20.1177,0.0874275,20.2052,3.41139,0.02496,GOOD
4G_LTE,Raspberry Pi 5,PID Control,Tokyo,19.3906,0.0874275,19.478,3.51122,0.02496,GOOD
4G_LTE,Raspberry Pi 5,RBC (Rule-Based),Kuala Lumpur,20.5051,0.0148629,20.5199,3.46796,0.05568,GOOD
4G_LTE,Raspberry Pi 5,RBC (Rule-Based),New York,20.0422,0.0148629,20.0571,3.43163,0.01472,GOOD
4G_LTE,Raspberry Pi 5,RBC (Rule-Based),Tokyo,20.3796,0.0148629,20.3944,3.63103,0.01472,GOOD
4G_LTE,Raspberry Pi 5,DQN,Kuala Lumpur,20.8972,1.12726,22.0245,3.40419,0.20928,GOOD
4G_LTE,Raspberry Pi 5,DQN,New York,20.8378,1.12726,21.9651,3.49899,0.16832,GOOD
4G_LTE,Raspberry Pi 5,DQN,Tokyo,20.3383,1.12726,21.4656,3.3521,0.16832,GOOD
4G_LTE,Raspberry Pi 5,PPO (Standard),Kuala Lumpur,20.9293,0.407584,21.3369,3.5805,0.05568,GOOD
4G_LTE,Raspberry Pi 5,PPO (Standard),New York,19.7274,0.407584,20.135,3.34385,0.01472,GOOD
4G_LTE,Raspberry Pi 5,PPO (Standard),Tokyo,19.1135,0.407584,19.5211,3.38939,0.01472,GOOD
4G_LTE,Raspberry Pi 5,Hybrid LSTM-PPO,Kuala Lumpur,19.8329,12.6985,32.5314,3.4061,0.7008,GOOD
4G_LTE,Raspberry Pi 5,Hybrid LSTM-PPO,New York,21.3173,12.6985,34.0158,3.61131,0.593856,GOOD
4G_LTE,Raspberry Pi 5,Hybrid LSTM-PPO,Tokyo,20.5013,12.6985,33.1998,3.66369,0.65984,GOOD
4G_LTE,Raspberry Pi 4,PID Control,Kuala Lumpur,20.3169,0.203998,20.5209,3.52701,0.06592,GOOD
4G_LTE,Raspberry Pi 4,PID Control,New York,19.1596,0.203998,19.3636,3.47154,0.02496,GOOD
4G_LTE,Raspberry Pi 4,PID Control,Tokyo,20.7408,0.203998,20.9448,3.55609,0.02496,GOOD
4G_LTE,Raspberry Pi 4,RBC (Rule-Based),Kuala Lumpur,19.1785,0.03468,19.2131,3.63649,0.05568,GOOD
4G_LTE,Raspberry Pi 4,RBC (Rule-Based),New York,19.7591,0.03468,19.7938,3.54709,0.01472,GOOD
4G_LTE,Raspberry Pi 4,RBC (Rule-Based),Tokyo,19.1719,0.03468,19.2066,3.36762,0.01472,GOOD
4G_LTE,Raspberry Pi 4,DQN,Kuala Lumpur,20.6178,2.63028,23.248,3.66765,0.20928,GOOD
4G_LTE,Raspberry Pi 4,DQN,New York,20.2594,2.63028,22.8897,3.36674,0.16832,GOOD
4G_LTE,Raspberry Pi 4,DQN,Tokyo,20.8577,2.63028,23.488,3.3397,0.16832,GOOD
4G_LTE,Raspberry Pi 4,PPO (Standard),Kuala Lumpur,20.237,0.95103,21.188,3.55088,0.05568,GOOD
4G_LTE,Raspberry Pi 4,PPO (Standard),New York,19.5662,0.95103,20.5172,3.38688,0.01472,GOOD
4G_LTE,Raspberry Pi 4,PPO (Standard),Tokyo,20.7495,0.95103,21.7005,3.33038,0.01472,GOOD
4G_LTE,Raspberry Pi 4,Hybrid LSTM-PPO,Kuala Lumpur,21.5693,29.6298,51.1991,3.48151,0.7008,GOOD
4G_LTE,Raspberry Pi 4,Hybrid LSTM-PPO,New York,20.0397,29.6298,49.6695,3.39003,0.65984,GOOD
4G_LTE,Raspberry Pi 4,Hybrid LSTM-PPO,Tokyo,21.1281,29.6298,50.7579,3.50781,0.65984,GOOD
4G_LTE,Nvidia Jetson,PID Control,Kuala Lumpur,19.0708,0.0364281,19.1072,3.44761,0.062624,GOOD
4G_LTE,Nvidia Jetson,PID Control,New York,20.5523,0.0364281,20.5887,3.44298,0.02496,GOOD
4G_LTE,Nvidia Jetson,PID Control,Tokyo,20.2676,0.0364281,20.304,3.67258,0.02496,GOOD
4G_LTE,Nvidia Jetson,RBC (Rule-Based),Kuala Lumpur,19.4056,0.00619286,19.4118,3.63578,0.05568,GOOD
4G_LTE,Nvidia Jetson,RBC (Rule-Based),New York,19.6983,0.00619286,19.7045,3.6198,0.01472,GOOD
4G_LTE,Nvidia Jetson,RBC (Rule-Based),Tokyo,19.9537,0.00619286,19.9599,3.66232,0.01472,GOOD
4G_LTE,Nvidia Jetson,DQN,Kuala Lumpur,19.5052,0.469694,19.9749,3.60304,0.20928,GOOD
4G_LTE,Nvidia Jetson,DQN,New York,20.4179,0.469694,20.8876,3.65966,0.16832,GOOD
4G_LTE,Nvidia Jetson,DQN,Tokyo,20.6757,0.469694,21.1454,3.65485,0.16832,GOOD
4G_LTE,Nvidia Jetson,PPO (Standard),Kuala Lumpur,20.6617,0.169827,20.8316,3.62694,0.05568,GOOD
4G_LTE,Nvidia Jetson,PPO (Standard),New York,20.7552,0.169827,20.925,3.47648,0.01472,GOOD
4G_LTE,Nvidia Jetson,PPO (Standard),Tokyo,20.5189,0.169827,20.6887,3.53458,0.01472,GOOD
4G_LTE,Nvidia Jetson,Hybrid LSTM-PPO,Kuala Lumpur,21.398,5.29104,26.689,3.61529,0.7008,GOOD
4G_LTE,Nvidia Jetson,Hybrid LSTM-PPO,New York,21.027,5.29104,26.318,3.62858,0.65984,GOOD
4G_LTE,Nvidia Jetson,Hybrid LSTM-PPO,Tokyo,19.6865,5.29104,24.9775,3.38041,0.65984,GOOD
4G_LTE,ESP32-S3,PID Control,Kuala Lumpur,19.9462,1.82141,21.7676,3.49056,0.06592,PERFECT
4G_LTE,ESP32-S3,PID Control,New York,20.2444,1.82141,22.0658,3.6061,0.02496,PERFECT
4G_LTE,ESP32-S3,PID Control,Tokyo,19.1293,1.82141,20.9507,3.43698,0.02496,PERFECT
4G_LTE,ESP32-S3,RBC (Rule-Based),Kuala Lumpur,19.9517,0.309643,20.2613,3.37678,0.05568,PERFECT
4G_LTE,ESP32-S3,RBC (Rule-Based),New York,20.8541,0.309643,21.1637,3.62977,0.01472,PERFECT
4G_LTE,ESP32-S3,RBC (Rule-Based),Tokyo,19.4283,0.309643,19.7379,3.59302,0.01472,PERFECT
4G_LTE,ESP32-S3,DQN,Kuala Lumpur,19.8937,23.4847,43.3784,3.50205,0.20928,GOOD
4G_LTE,ESP32-S3,DQN,New York,20.1057,23.4847,43.5904,3.45203,0.16832,GOOD
4G_LTE,ESP32-S3,DQN,Tokyo,19.2234,23.4847,42.7081,3.33109,0.16832,GOOD
4G_LTE,ESP32-S3,PPO (Standard),Kuala Lumpur,19.3995,8.49134,27.8908,3.5451,0.05568,PERFECT
4G_LTE,ESP32-S3,PPO (Standard),New York,20.7628,8.49134,29.2541,3.59533,0.01472,PERFECT
4G_LTE,ESP32-S3,PPO (Standard),Tokyo,20.2378,8.49134,28.7291,3.52474,0.013984,PERFECT
4G_LTE,ESP32-S3,Hybrid LSTM-PPO,Kuala Lumpur,21.3256,264.552,285.877,3.52413,0.7008,GOOD
4G_LTE,ESP32-S3,Hybrid LSTM-PPO,New York,20.0978,264.552,284.65,3.49558,0.65984,GOOD
4G_LTE,ESP32-S3,Hybrid LSTM-PPO,Tokyo,20.4251,264.552,284.977,3.36987,0.65984,GOOD
5G,Laptop (Ryzen 7),PID Control,Kuala Lumpur,0.999669,0.00728563,1.00695,0.100978,0.06592,PERFECT
5G,Laptop (Ryzen 7),PID Control,New York,1.02836,0.00728563,1.03565,0.100553,0.02496,PERFECT
5G,Laptop (Ryzen 7),PID Control,Tokyo,0.98148,0.00728563,0.988766,0.0978832,0.02496,PERFECT
5G,Laptop (Ryzen 7),RBC (Rule-Based),Kuala Lumpur,1.01834,0.00123857,1.01958,0.0978579,0.05568,PERFECT
5G,Laptop (Ryzen 7),RBC (Rule-Based),New York,1.02241,0.00123857,1.02365,0.0963857,0.01472,PERFECT
5G,Laptop (Ryzen 7),RBC (Rule-Based),Tokyo,1.03136,0.00123857,1.0326,0.0966416,0.01472,PERFECT
5G,Laptop (Ryzen 7),DQN,Kuala Lumpur,1.00264,0.0939387,1.09658,0.101079,0.20928,PERFECT
5G,Laptop (Ryzen 7),DQN,New York,1.01956,0.0939387,1.1135,0.100179,0.16832,PERFECT
5G,Laptop (Ryzen 7),DQN,Tokyo,1.04858,0.0939387,1.14251,0.0961809,0.16832,PERFECT
5G,Laptop (Ryzen 7),PPO (Standard),Kuala Lumpur,1.04123,0.0339654,1.07519,0.0990066,0.05568,PERFECT
5G,Laptop (Ryzen 7),PPO (Standard),New York,1.00359,0.0339654,1.03755,0.102893,0.01472,PERFECT
5G,Laptop (Ryzen 7),PPO (Standard),Tokyo,0.95459,0.0339654,0.988556,0.0975561,0.01472,PERFECT
5G,Laptop (Ryzen 7),Hybrid LSTM-PPO,Kuala Lumpur,1.04673,1.05821,2.10494,0.101505,0.7008,GOOD
5G,Laptop (Ryzen 7),Hybrid LSTM-PPO,New York,1.04505,1.05821,2.10326,0.100744,0.65984,GOOD
5G,Laptop (Ryzen 7),Hybrid LSTM-PPO,Tokyo,0.982645,1.05821,2.04085,0.101814,0.65984,GOOD
5G,Raspberry Pi 5,PID Control,Kuala Lumpur,0.982988,0.0874275,1.07042,0.103779,0.06592,PERFECT
5G,Raspberry Pi 5,PID Control,New York,0.965534,0.0874275,1.05296,0.10218,0.02496,PERFECT
5G,Raspberry Pi 5,PID Control,Tokyo,0.978032,0.0874275,1.06546,0.100429,0.02496,PERFECT
5G,Raspberry Pi 5,RBC (Rule-Based),Kuala Lumpur,1.03613,0.0148629,1.05099,0.0990715,0.05568,PERFECT
5G,Raspberry Pi 5,RBC (Rule-Based),New York,0.961194,0.0148629,0.976057,0.103089,0.01472,PERFECT
5G,Raspberry Pi 5,RBC (Rule-Based),Tokyo,0.979913,0.0148629,0.994776,0.0957723,0.01472,PERFECT
5G,Raspberry Pi 5,DQN,Kuala Lumpur,0.964898,1.12726,2.09216,0.102296,0.20928,GOOD
5G,Raspberry Pi 5,DQN,New York,0.973458,1.12726,2.10072,0.103641,0.16832,GOOD
5G,Raspberry Pi 5,DQN,Tokyo,0.962805,1.12726,2.09007,0.101439,0.16832,GOOD
5G,Raspberry Pi 5,PPO (Standard),Kuala Lumpur,1.03196,0.407584,1.43955,0.097354,0.05568,PERFECT
5G,Raspberry Pi 5,PPO (Standard),New York,0.98408,0.407584,1.39166,0.103878,0.01472,PERFECT
5G,Raspberry Pi 5,PPO (Standard),Tokyo,0.967498,0.407584,1.37508,0.10462,0.01472,PERFECT
5G,Raspberry Pi 5,Hybrid LSTM-PPO,Kuala Lumpur,1.01439,12.6985,13.7129,0.0952733,0.7008,GOOD
5G,Raspberry Pi 5,Hybrid LSTM-PPO,New York,1.0346,12.6985,13.7331,0.102383,0.65984,GOOD
5G,Raspberry Pi 5,Hybrid LSTM-PPO,Tokyo,0.977694,12.6985,13.6762,0.104123,0.65984,GOOD
5G,Raspberry Pi 4,PID Control,Kuala Lumpur,0.967596,0.203998,1.17159,0.0988538,0.06592,PERFECT
5G,Raspberry Pi 4,PID Control,New York,1.00801,0.203998,1.21201,0.102877,0.02496,PERFECT
5G,Raspberry Pi 4,PID Control,Tokyo,1.03328,0.203998,1.23728,0.103232,0.02496,PERFECT
5G,Raspberry Pi 4,RBC (Rule-Based),Kuala Lumpur,1.0405,0.03468,1.07518,0.0978359,0.05568,PERFECT
5G,Raspberry Pi 4,RBC (Rule-Based),New York,1.02616,0.03468,1.06084,0.102513,0.01472,PERFECT
5G,Raspberry Pi 4,RBC (Rule-Based),Tokyo,0.959415,0.03468,0.994095,0.0961769,0.01472,PERFECT
5G,Raspberry Pi 4,DQN,Kuala Lumpur,0.955127,2.63028,3.58541,0.10276,0.20928,GOOD
5G,Raspberry Pi 4,DQN,New York,0.997992,2.63028,3.62828,0.0968029,0.16832,GOOD
5G,Raspberry Pi 4,DQN,Tokyo,1.01709,2.63028,3.64738,0.104006,0.16832,GOOD
5G,Raspberry Pi 4,PPO (Standard),Kuala Lumpur,1.0351,0.95103,1.98613,0.0986815,0.05568,PERFECT
5G,Raspberry Pi 4,PPO (Standard),New York,0.970687,0.95103,1.92172,0.102392,0.01472,PERFECT
5G,Raspberry Pi 4,PPO (Standard),Tokyo,0.984809,0.95103,1.93584,0.0974572,0.01472,PERFECT
5G,Raspberry Pi 4,Hybrid LSTM-PPO,Kuala Lumpur,1.03434,29.6298,30.6641,0.0977986,0.7008,GOOD
5G,Raspberry Pi 4,Hybrid LSTM-PPO,New York,1.05058,29.6298,30.6804,0.0950844,0.65984,GOOD
5G,Raspberry Pi 4,Hybrid LSTM-PPO,Tokyo,1.0226,29.6298,30.6524,0.100532,0.65984,GOOD
5G,Nvidia Jetson,PID Control,Kuala Lumpur,0.954919,0.0364281,0.991347,0.103973,0.06592,PERFECT
5G,Nvidia Jetson,PID Control,New York,0.983153,0.0364281,1.01958,0.104383,0.02496,PERFECT
5G,Nvidia Jetson,PID Control,Tokyo,1.0184,0.0364281,1.05483,0.0961263,0.02496,PERFECT
5G,Nvidia Jetson,RBC (Rule-Based),Kuala Lumpur,1.00866,0.00619286,1.01485,0.100699,0.05568,PERFECT
5G,Nvidia Jetson,RBC (Rule-Based),New York,0.995817,0.00619286,1.00201,0.103409,0.01472,PERFECT
5G,Nvidia Jetson,RBC (Rule-Based),Tokyo,0.955775,0.00619286,0.961967,0.0950564,0.01472,PERFECT
5G,Nvidia Jetson,DQN,Kuala Lumpur,1.02587,0.469694,1.49556,0.0977638,0.20928,PERFECT
5G,Nvidia Jetson,DQN,New York,1.04498,0.469694,1.51467,0.0997114,0.16832,PERFECT
5G,Nvidia Jetson,DQN,Tokyo,0.96517,0.469694,1.43486,0.100161,0.16832,PERFECT
5G,Nvidia Jetson,PPO (Standard),Kuala Lumpur,1.03796,0.169827,1.20779,0.0973231,0.05568,PERFECT
5G,Nvidia Jetson,PPO (Standard),New York,0.988418,0.169827,1.15825,0.104795,0.01472,PERFECT
5G,Nvidia Jetson,PPO (Standard),Tokyo,1.03935,0.169827,1.20918,0.0962614,0.01472,PERFECT
5G,Nvidia Jetson,Hybrid LSTM-PPO,Kuala Lumpur,0.958495,5.29104,6.24953,0.0974308,0.7008,GOOD
5G,Nvidia Jetson,Hybrid LSTM-PPO,New York,0.961684,5.29104,6.25272,0.104831,0.65984,GOOD
5G,Nvidia Jetson,Hybrid LSTM-PPO,Tokyo,0.993301,5.29104,6.28434,0.104223,0.65984,GOOD
5G,ESP32-S3,PID Control,Kuala Lumpur,0.981064,1.82141,2.80247,0.10061,0.06592,PERFECT
5G,ESP32-S3,PID Control,New York,1.03478,1.82141,2.85619,0.101602,0.02496,PERFECT
5G,ESP32-S3,PID Control,Tokyo,1.00677,1.82141,2.82818,0.098039,0.02496,PERFECT
5G,ESP32-S3,RBC (Rule-Based),Kuala Lumpur,0.994336,0.309643,1.30398,0.103985,0.05568,PERFECT
5G,ESP32-S3,RBC (Rule-Based),New York,0.973869,0.309643,1.28351,0.0982334,0.01472,PERFECT
5G,ESP32-S3,RBC (Rule-Based),Tokyo,0.969971,0.309643,1.27961,0.095607,0.01472,PERFECT
5G,ESP32-S3,DQN,Kuala Lumpur,1.01596,23.4847,24.5006,0.0978551,0.20928,PERFECT
