Network,Device,Algorithm,Dataset,Net_Latency,HW_Latency,Total_Latency,Jitter,Throughput,Status
Ethernet,Raspberry Pi 4,Hybrid LSTM-PPO,Kuala Lumpur,0.51639,29.6298,30.1462,0.0203405,0.7008,GOOD
Ethernet,Raspberry Pi 4,Hybrid LSTM-PPO,New York,0.509885,29.6298,30.1397,0.0198672,0.65984,GOOD
Ethernet,Raspberry Pi 4,Hybrid LSTM-PPO,Tokyo,0.529507,29.6298,30.1593,0.0191224,0.65984,GOOD
Ethernet,Nvidia Jetson,PID Control,Kuala Lumpur,0.519926,0.0364281,0.556354,0.02044,0.06592,PERFECT
Ethernet,Nvidia Jetson,PID Control,New York,0.507444,0.0364281,0.543872,0.0195943,0.02496,PERFECT
Ethernet,Nvidia Jetson,PID Control,Tokyo,0.484178,0.0364281,0.520606,0.0198712,0.02496,PERFECT
Ethernet,Nvidia Jetson,RBC (Rule-Based),Kuala Lumpur,0.490386,0.00619286,0.496579,0.0205081,0.05568,PERFECT
Ethernet,Nvidia Jetson,RBC (Rule-Based),New York,0.523806,0.00619286,0.529999,0.0197413,0.01472,PERFECT
Ethernet,Nvidia Jetson,RBC (Rule-Based),Tokyo,0.484065,0.00619286,0.490258,0.0194502,0.01472,PERFECT
Ethernet,Nvidia Jetson,DQN,Kuala Lumpur,0.497343,0.469694,0.967037,0.0198333,0.20928,PERFECT
Ethernet,Nvidia Jetson,DQN,New York,0.508142,0.469694,0.977836,0.0195157,0.16832,PERFECT
Ethernet,Nvidia Jetson,DQN,Tokyo,0.515788,0.469694,0.985481,0.0197096,0.16832,PERFECT
Ethernet,Nvidia Jetson,PPO (Standard),Kuala Lumpur,0.49744,0.169827,0.667267,0.0205005,0.05568,PERFECT
Ethernet,Nvidia Jetson,PPO (Standard),New York,0.49312,0.169827,0.662947,0.0195294,0.01472,PERFECT
Ethernet,Nvidia Jetson,PPO (Standard),Tokyo,0.49984,0.169827,0.669666,0.0197295,0.01472,PERFECT
Ethernet,Nvidia Jetson,Hybrid LSTM-PPO,Kuala Lumpur,0.548861,5.29104,5.8399,0.020641,0.7008,GOOD
Ethernet,Nvidia Jetson,Hybrid LSTM-PPO,New York,0.509181,5.29104,5.80022,0.0198087,0.65984,GOOD
Ethernet,Nvidia Jetson,Hybrid LSTM-PPO,Tokyo,0.513725,5.29104,5.80476,0.0209399,0.65984,GOOD
Ethernet,ESP32-S3,PID Control,Kuala Lumpur,0.513602,1.82141,2.33501,0.0193337,0.06592,PERFECT
Ethernet,ESP32-S3,PID Control,New York,0.484424,1.82141,2.30583,0.0209165,0.02496,PERFECT
Ethernet,ESP32-S3,PID Control,Tokyo,0.513527,1.82141,2.33493,0.0208431,0.02496,PERFECT
Ethernet,ESP32-S3,RBC (Rule-Based),Kuala Lumpur,0.493242,0.309643,0.802885,0.01969,0.05568,PERFECT
Ethernet,ESP32-S3,RBC (Rule-Based),New York,0.50102,0.309643,0.810663,0.0207145,0.01472,PERFECT
Ethernet,ESP32-S3,RBC (Rule-Based),Tokyo,0.490219,0.309643,0.799862,0.0193952,0.01472,PERFECT
Ethernet,ESP32-S3,DQN,Kuala Lumpur,0.531415,23.4847,24.0161,0.0199001,0.20928,PERFECT
Ethernet,ESP32-S3,DQN,New York,0.508779,23.4847,23.9935,0.0207992,0.16832,PERFECT
Ethernet,ESP32-S3,DQN,Tokyo,0.510668,23.4847,23.9954,0.0208423,0.16832,PERFECT
Ethernet,ESP32-S3,PPO (Standard),Kuala Lumpur,0.521337,8.49134,9.01268,0.0194754,0.05568,PERFECT
Ethernet,ESP32-S3,PPO (Standard),New York,0.490087,8.49134,8.98143,0.0194712,0.01472,PERFECT
Ethernet,ESP32-S3,PPO (Standard),Tokyo,0.522357,8.49134,9.0137,0.0205428,0.01472,PERFECT
Ethernet,ESP32-S3,Hybrid LSTM-PPO,Kuala Lumpur,0.539885,264.552,265.092,0.0197029,0.7008,GOOD
Ethernet,ESP32-S3,Hybrid LSTM-PPO,New York,0.51128,264.552,265.063,0.0205693,0.65984,GOOD
Ethernet,ESP32-S3,Hybrid LSTM-PPO,Tokyo,0.552896,264.552,265.105,0.0192352,0.65984,GOOD
WiFi5,Laptop (Ryzen 7),PID Control,Kuala Lumpur,5.15763,0.00728563,5.16491,1.46464,0.06592,GOOD
WiFi5,Laptop (Ryzen 7),PID Control,New York,5.08112,0.00728563,5.0884,1.5646,0.02496,GOOD
WiFi5,Laptop (Ryzen 7),PID Control,Tokyo,4.75656,0.00728563,4.76385,1.53466,0.02496,GOOD
WiFi5,Laptop (Ryzen 7),RBC (Rule-Based),Kuala Lumpur,5.08268,0.00123857,5.08392,1.49122,0.05568,GOOD
WiFi5,Laptop (Ryzen 7),RBC (Rule-Based),New York,4.98344,0.00123857,4.98467,1.55694,0.01472,GOOD
WiFi5,Laptop (Ryzen 7),RBC (Rule-Based),Tokyo,4.85009,0.00123857,4.85133,1.46948,0.01472,GOOD
WiFi5,Laptop (Ryzen 7),DQN,Kuala Lumpur,5.23083,0.0939387,5.32477,1.53975,0.20928,GOOD
WiFi5,Laptop (Ryzen 7),DQN,New York,4.77395,0.0939387,4.86789,1.49892,0.16832,GOOD
WiFi5,Laptop (Ryzen 7),DQN,Tokyo,4.80564,0.0939387,4.89958,1.47735,0.16832,GOOD
WiFi5,Laptop (Ryzen 7),PPO (Standard),Kuala Lumpur,4.82438,0.0339654,4.85835,1.51031,0.05568,GOOD
WiFi5,Laptop (Ryzen 7),PPO (Standard),New York,5.17948,0.0339654,5.21344,1.4575,0.01472,GOOD
WiFi5,Laptop (Ryzen 7),PPO (Standard),Tokyo,4.99071,0.0339654,5.02468,1.49549,0.01472,GOOD
WiFi5,Laptop (Ryzen 7),Hybrid LSTM-PPO,Kuala Lumpur,4.85106,1.05821,5.90927,1.45309,0.7008,GOOD
WiFi5,Laptop (Ryzen 7),Hybrid LSTM-PPO,New York,5.23595,1.05821,6.29416,1.55602,0.65984,GOOD
