Algorithm,Seed,Energy_kWh,Violations
Hybrid,10,30321.756,984
Hybrid,20,31446.541,1006
Hybrid,30,31767.81,1009
Hybrid,40,31187.047,1001
Hybrid,50,31645.215,1009
Hybrid,60,31133.246,1000
Hybrid,70,31767.81,1009
Hybrid,80,31767.81,1009
Hybrid,90,31194.834,1001
Hybrid,100,29749.15,973
